00:87F4  67 00  BEQ     #$0040 [00:8836]         A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=0001F008 D2=00000002 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvC
00:87F8  B0 41  CMP.W   D1,D0                    A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=0001F008 D2=00000002 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvC
00:87FA  67 00  BEQ     #$0006 [00:8802]         A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=0001F008 D2=00000002 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8802  32 39  MOVE.w  ($00FF81A2),D1           A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=0001F008 D2=00000002 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8808  D2 41  ADD.W   D1,D1                    A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=00010001 D2=00000002 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:880A  34 31  MOVE.w  $00(A1,D1),D2            A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=00010002 D2=00000002 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:880E  33 C2  MOVE.w  D2,($00FF89CC)           A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=00010002 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8814  30 39  MOVE.w  ($00FF81A6),D0           A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=0000F008 D1=00010002 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:881A  32 3C  MOVE.w  #$6000,D1                A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=000018A0 D1=00010002 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:881E  B4 7C  CMP.W   #$000E,D2                A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=000018A0 D1=00016000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8822  64 00  BCC     #$0008 [00:882C]         A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=000018A0 D1=00016000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvC
00:8826  70 00  MOVEQ   #$00,D0                  A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=000018A0 D1=00016000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xNzvC
00:8828  32 3C  MOVE.w  #$2000,D1                A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00016000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:882C  47 F9  LEA     ($00FF822A),A3           A0=00021426 A1=0002147A A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8832  36 C0  MOVE.w  D0,(A3)+                 A0=00021426 A1=0002147A A2=00C00004 A3=00FF822A A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:8834  36 81  MOVE.w  D1,(A3)                  A0=00021426 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnZvc
00:8836  4E 75  RTS                              A0=00021426 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:87A2  61 00  BSR     #$FFFFFF48 [00:86EC]     A0=00021426 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
00:86EC  41 F9  LEA     ($00063A90),A0           A0=00021426 A1=0002147A A2=00C00004 A3=00FF822C A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFF8 D0=00000000 D1=00012000 D2=00000000 D3=00000002 D4=2A1BB080 D5=000000B0 D6=0000FFFF D7=00000001 xnzvc
